Product Name,Price,Rating
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹699,3.9
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹749,4.1
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
Techio Earbuds Bluetooth,₹299,3.7
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹549,4
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹899,4.1
"Boult K10 50H Battery, 4 Mic ENC, 45ms Low Latency, Dua...",₹899,4.1
Aroma NB126 Amplifier 40 Hours Bluetooth Gaming,₹399,3.6
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹699,3.9
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹768,4.1
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹699,3.9
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
Aroma NB121 Almaty Upto 40H Playtime* Fast Charging Wit...,₹299,3.8
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹899,4.1
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
TECHFIRE BoomBuds TWS Earbuds with Bluetooth,₹300,3.7
"Mivi Superpods Opera, 60Hrs PT, Spatial Audio, Hi-Res &...",₹999,4.2
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,3.9
